PREC = 160, tol = 6.934336e-310
order = 2, lambda = 3.4985616993277015199989453819445392678868790365412e+00 
order = 3, lambda = 3.5546408627688248653660818519484917918272000141125e+00 
order = 4, lambda = 3.5666673798562685139726311574553680919379540659986e+00 
order = 5, lambda = 3.569243531637110337808249510912745558176629441043e+00 
order = 6, lambda = 3.5697952937499446205153525296069779756774591767591e+00 
order = 7, lambda = 3.5699134654223485148409735196680118263186321888871e+00 
order = 8, lambda = 3.5699387742333054877934460675629869263611501462404e+00 
order = 9, lambda = 3.5699441946080649332436333438721733364700967976026e+00 
order = 10, lambda = 3.5699453554864685808928023823081642488163850277737e+00 
order = 11, lambda = 3.5699456041110784381341172613816007521225000069129e+00 
order = 12, lambda = 3.5699456573588564997296076145681267526604102685244e+00 
order = 13, lambda = 3.5699456687628999683470976698092001600658310767592e+00 
order = 14, lambda = 3.5699456712052968545289140940915181597126814686083e+00 
order = 15, lambda = 3.5699456717283834742050690192096973333697091449955e+00 
order = 16, lambda = 3.5699456718404126096918344700869242030433243931457e+00 
order = 17, lambda = 3.5699456718644058198519157431814989437366428766789e+00 
order = 18, lambda = 3.569945671869544430725628114908079602302766997552e+00 
order = 19, lambda = 3.5699456718706449638154168955016539851271981098286e+00 
order = 20, lambda = 3.5699456718708806643016934408721443201839391225309e+00 
order = 21, lambda = 3.5699456718709311441280125762486741953450099837858e+00 
order = 22, lambda = 3.5699456718709419553609695599160619956411361777822e+00 
order = 23, lambda = 3.5699456718709442707959972328025985630574514509824e+00 
order = 24, lambda = 3.5699456718709447666912747377954329833395628038543e+00 
order = 25, lambda = 3.5699456718709448728968574091892769792410534724065e+00 
order = 26, lambda = 3.5699456718709448956428408904631137637850465582631e+00 
order = 27, lambda = 3.5699456718709449005143340033174999247532053769525e+00 
order = 28, lambda = 3.5699456718709449015576586486609375795187604502729e+00 
order = 29, lambda = 3.5699456718709449017811068380279143387436408983256e+00 
order = 30, lambda = 3.5699456718709449018289625975503445175345229778494e+00 
