PREC = 500, tol = 6.902703e-310
order = 2, lambda = 3.4985616993277015199989453819445392678868790365444340774750831081716785466297999354043059972731025975181703270757155974618511483098031049310299939674507e+00 
order = 3, lambda = 3.5546408627688248653660818519484917918272000141142949262772322658604772051680141551313546693708783192727920139339539707437886721928598908354064970277288e+00 
order = 4, lambda = 3.5666673798562685139726311574553680919379540660013579697653181028568891565873840761233918563758895384154123215360548357126626507025909841856618633824383e+00 
order = 5, lambda = 3.5692435316371103378082495109127455581766294410483182471690768854563070882377738028179567622013365581697496383054385672042260951615257737718583490273111e+00 
order = 6, lambda = 3.569795293749944620515352529606977975677459176765028312401772819553082758924048834556757712295500591693135071819492002875149794056821918251825259279069e+00 
order = 7, lambda = 3.5699134654223485148409735196680118263186321889073645555745724048634830575248381775976777010458706166078688388068311368467547010173293487575027517829995e+00 
order = 8, lambda = 3.5699387742333054877934460675629869263611501462433175089559196985345189589195588698374341512964365450728405087555406262478598558222881297507679283951562e+00 
order = 9, lambda = 3.5699441946080649332436333438721733364700967976087441313811973234917266781820443218825074584634385160121407438176284938492857457755023085088760168064572e+00 
order = 10, lambda = 3.5699453554864685808928023823081642488163850277755789258922810276671955711821264788457954957506538515281408186079767489079631499462023970386278820956825e+00 
order = 11, lambda = 3.5699456041110784381341172613816007521225000068803773425169558498410186723953584926913746460552001092561229631761997032174343028267843608586438547691877e+00 
order = 12, lambda = 3.569945657358856499729607614568126752660410268499200206864733203434475381297754604704743775600119466532418938027671228526804287496679012416345152314196e+00 
order = 13, lambda = 3.5699456687628999683470976698092001600658310767638288665230410225044621577446501710338204373392758413302988962351106969133488504959829152772036782491182e+00 
order = 14, lambda = 3.5699456712052968545289140940915181597126814686792383404972240392639287398092844504950233087613490771227564666487242293446889774184185920224010700858199e+00 
order = 15, lambda = 3.5699456717283834742050690192096973333697091450035732633843589489164132287136831202938892949715729376784233891822182602504163911034705348065808840383327e+00 
order = 16, lambda = 3.5699456718404126096918344700869242030433243926552749206269537831130434172808955824532725943291279527123729265103214954155740403515461488322501705017626e+00 
order = 17, lambda = 3.5699456718644058198519157431814989437366428768742493427533619320016401413813749430072485421973513739017169929818047125059775452270583103646794078269159e+00 
order = 18, lambda = 3.5699456718695444307256281149080796023027669972068608929802699859906583981214191997847255509691586649171117276884867725081303088236091542504829603798412e+00 
order = 19, lambda = 3.5699456718706449638154168955016539851271981094979693250072811679189445164683421512646045487588747248192410390181300290572482228023009435901586480459989e+00 
order = 20, lambda = 3.5699456718708806643016934408721443201839391224163558244086248321277962292575701505899716833775600893850826982088943363916909795866249721136293689697132e+00 
order = 21, lambda = 3.5699456718709311441280125762486741953450099828225709140134342460234092671628432190807494279993156454443344635482728942036547432653836589726273661188107e+00 
order = 22, lambda = 3.5699456718709419553609695599160619956411361789940304445405701788876123787604873411482986017635664499919232222709486138790587504896922372198655573378618e+00 
order = 23, lambda = 3.5699456718709442707959972328025985630574514484604792219343858293796772418921280092889621913272776050632943132063257942331340044383591336700785143070637e+00 
order = 24, lambda = 3.5699456718709447666912747377954329833395627988006635021990196368850010049363209116029522562129512999500582182611380817672751076036990394369594394279208e+00 
order = 25, lambda = 3.5699456718709448728968574091892769792410534732634723278824043966356001549253068108005083049287318322420288819811664438586138933500782624742966940347294e+00 
order = 26, lambda = 3.5699456718709448956428408904631137637850465510339215574454795456624630230649188139922184582852988882566679118571371277187098427098008601029866234143855e+00 
order = 27, lambda = 3.5699456718709449005143340033174999247532053888378594354848148634571329583016495057731798844753186202945437404065790696837870897980393648027173903855028e+00 
order = 28, lambda = 3.5699456718709449015576586486609375795187604084436926826443844289020579311782442545636237658254066818477000895408126758790234962456565652184273623345387e+00 
